"r_demo" "r_sex" "r_sexid" "r_sexact" "prop.r" "rp_demo" "rp_sex" "rp_sexid" "rp_sexact" "corrected_r" "corrected_rp" "cnr" "cnrp"
"62" "w_het_high" "w" "het" "high" 0.0433470411036882 "m_bi_low" "m" "bi" "low" 0.0149800009266902 0.178363858395569 0.00064933871590253 0.00064933871590253
"63" "w_het_high" "w" "het" "high" 0.0433470411036882 "m_gay_high" "m" "gay" "high" 0.0107397877865505 0.111992486718857 0.000465538022628493 0.000465538022628493
"64" "w_het_high" "w" "het" "high" 0.0433470411036882 "m_gay_low" "m" "gay" "low" NA NA NA NA
"65" "w_het_high" "w" "het" "high" 0.0433470411036882 "m_het_high" "m" "het" "high" 3.11600470792583 1.93603788560905 0.135069584153747 0.135069584153747
"66" "w_het_high" "w" "het" "high" 0.0433470411036882 "m_het_low" "m" "het" "low" 1.28023674870621 0.133807097295952 0.0554944749686205 0.0554944749686205
"67" "w_het_low" "w" "het" "low" 0.437482240234025 "m_bi_high" "m" "bi" "high" 0.00346860364221781 1.23629861176569 0.00151745249188135 0.00151745249188135
"68" "w_het_low" "w" "het" "low" 0.437482240234025 "m_bi_low" "m" "bi" "low" 0.000609821953160385 0.0732822917687562 0.000266786274212494 0.000266786274212494
"69" "w_het_low" "w" "het" "low" 0.437482240234025 "m_gay_high" "m" "gay" "high" 0.000437206806366288 0.0460130553435244 0.000191270213094687 0.000191270213094687
"70" "w_het_low" "w" "het" "low" 0.437482240234025 "m_gay_low" "m" "gay" "low" NA NA NA NA
"71" "w_het_low" "w" "het" "low" 0.437482240234025 "m_het_high" "m" "het" "high" 0.12684966351762 0.79543745288307 0.0554944749686205 0.0554944749686205
"72" "w_het_low" "w" "het" "low" 0.437482240234025 "m_het_low" "m" "het" "low" 0.0521172514223749 0.0549757716219932 0.0228003719071005 0.0228003719071005
"73" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "w_bi_high" "w" "bi" "high" 0.0822804301954855 0.041768599511986 0.000100992302866771 0.000100992302866771
"74" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "w_bi_low" "w" "bi" "low" 0.0144658824773087 0.00175539781854661 1.77556532083328e-05 1.77556532083328e-05
"75" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "w_gay_high" "w" "gay" "high" 0.0103711948157937 0.0122005123650453 1.27297687364837e-05 1.27297687364837e-05
"76" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "w_gay_low" "w" "gay" "low" NA NA NA NA
"77" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "w_het_high" "w" "het" "high" 3.00906242424078 0.0852046822936832 0.00369337086561098 0.00369337086561098
"78" "m_bi_high" "m" "bi" "high" 0.00122741583420054 "w_het_low" "w" "het" "low" 1.23629861176569 0.00346860364221781 0.00151745249188135 0.00151745249188135
"79" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "w_bi_high" "w" "bi" "high" 0.00487721852557345 0.00734341872480042 1.77556532083328e-05 1.77556532083328e-05
"80" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "w_bi_low" "w" "bi" "low" 0.000857473275716652 0.000308619904923791 3.12165592728857e-06 3.12165592728857e-06
"81" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "w_gay_high" "w" "gay" "high" 0.000614758374108448 0.00214499581025988 2.23804540238531e-06 2.23804540238531e-06
"82" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "w_gay_low" "w" "gay" "low" NA NA NA NA
"83" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "w_het_high" "w" "het" "high" 0.178363858395569 0.0149800009266902 0.00064933871590253 0.00064933871590253
"84" "m_bi_low" "m" "bi" "low" 0.00364052853388297 "w_het_low" "w" "het" "low" 0.0732822917687562 0.000609821953160385 0.000266786274212494 0.000266786274212494
"85" "m_gay_high" "m" "gay" "high" 0.00415686834240199 "w_bi_high" "w" "bi" "high" 0.00306234590271579 0.00526480332799037 1.27297687364837e-05 1.27297687364837e-05
"86" "m_gay_high" "m" "gay" "high" 0.00415686834240199 "w_bi_low" "w" "bi" "low" 0.000538396989761788 0.000221262488687925 2.23804540238531e-06 2.23804540238531e-06
"87" "m_gay_high" "m" "gay" "high" 0.00415686834240199 "w_gay_high" "w" "gay" "high" 0.000385999269509843 0.00153783700801952 1.60454814361576e-06 1.60454814361576e-06
"88" "m_gay_high" "m" "gay" "high" 0.00415686834240199 "w_gay_low" "w" "gay" "low" NA NA NA NA
"89" "m_gay_high" "m" "gay" "high" 0.00415686834240199 "w_het_high" "w" "het" "high" 0.111992486718857 0.0107397877865505 0.000465538022628493 0.000465538022628493
"90" "m_gay_high" "m" "gay" "high" 0.00415686834240199 "w_het_low" "w" "het" "low" 0.0460130553435244 0.000437206806366288 0.000191270213094687 0.000191270213094687
"91" "m_gay_low" "m" "gay" "low" 0.00632020664559923 "w_bi_high" "w" "bi" "high" NA NA NA NA
"92" "m_gay_low" "m" "gay" "low" 0.00632020664559923 "w_bi_low" "w" "bi" "low" NA NA NA NA
"93" "m_gay_low" "m" "gay" "low" 0.00632020664559923 "w_gay_high" "w" "gay" "high" NA NA NA NA
"94" "m_gay_low" "m" "gay" "low" 0.00632020664559923 "w_gay_low" "w" "gay" "low" NA NA NA NA
